titel;verantwoordelijken;impressum;isbn_bindwijze
Houd moed, en steun elkander : brieven van verlangen, eenzaamheid en miserie tijdens Wereldoorlog II;"Francis Weyns ; eindredactie: Veerle Van Caneghem";Gent : Borgerhoff & Lamberigts;9789493410947 - paperback
Verborgen verbindingen : hoe een Nederlandse verzetsman in het Canadese leger terechtkwam;"Xandra de Bode ; bronnenredactie Elsa Miedema";[Nederland] : [Uitgever niet vastgesteld];9789493407404 - paperback
Lieve Jan : brieven van een moeder in oorlogstijd;Henriette van't Wout;[Breda] : Droomvallei Uitgeverij;9789493314542 - paperback
Noem hun namen : verslag van een reis;Willem Hendrik Gispen en Jeroen Hermkens;[Almere] : Uitgeverij Verbum;9789493028784 - gebonden
Betje & Roosje Cohen : twee joodse Doesburgse meisjes;Henk IJbema;[Doesburg] : Henk IJbema;9789491504037 - gebonden
De motorordonnans van Venlo : de jonge jaren van Dominique P.G. Claessens;"Paul Seelen, Dorothee Huijnen-Claessens ; correctie Pim Seelen";[Wijlre] : Cartils International B.V.;9789490069360 - gebonden
Die straatjongen uit Rotterdam : een waargebeurd verhaal;Eric Husen;[Rotterdam] : Eric Husen;9789464919264 - paperback
Maurice Hirschel : held van de Hollandsche Schouwburg;Bram Keizerwaard;Soesterberg : Uitgeverij Aspekt;9789464872620 - paperback
Een leven van moed en opoffering : Charles Bongaerts, verzetsman en politie-inspecteur;Lodewijk Ivo Crijns;Zutphen : Walburg Pers;9789464566253 - paperback
Vier namen : de noodlottige verzetsgeschiedenis van mijn familie;Kees Sietsma;Amsterdam : Uitgeverij Balans;9789463824293 - paperback
'Ik weet me geen raad' : wanhoopsbrieven van Joodse vluchtelingen, 1938-1939;Willy Lindwer en Aline Pennewaard;Amsterdam : Uitgeverij Balans;9789463823883 - paperback
Onzichtbare jaren : het verhaal van een Nederlandse familie in onderduik;"Daphne Geismar ; voorwoord door Robert Jan van Pelt ; vertaling [uit het Engels] door Paul van der Lecq";Zwolle : Waanders Uitgevers;9789462625914 - paperback
Het archief Jilles : een brief aan mijn grootvader;Lisa Weeda;Amsterdam : De Bezige Bij;9789403136479 - paperback
Waar ik me voor schaam : over zwijgen en het doorgeven van schuld;Sheila Sitalsing;Amsterdam : De Bezige Bij;9789403133867 - paperback
Mijn naam is Edith;"Lianne Biemond ; illustraties: Marlies Biemond";Apeldoorn : De Banier uitgeverij;9789402912043 - gebonden
Een prachtig leven : het inspirerende verhaal van mijn moeder over het overleven van de Holocaust;"Rachelle Unreich ; vertaling [uit het Engels] Joost van der Meer en William Oostendorp";Amsterdam : HarperCollins;9789402716795 - paperback
De man in cel 401 : de oorlogsjaren van Simon Willemse;John Brosens;Utrecht : Uitgeverij Omniboek;9789401920827 - paperback
Liefs van je Leen;Hilde Veeren;Amsterdam : Xander;9789401625449 - paperback
Bevrijd, maar nog geen vrede : dagboek van de Bevrijding van 's-Hertogenbosch, 16 september 1944 tot 7 mei 1945;"Hans van Noorden & Jan-Pierre van Noorden ; bewerkt door Elly van Noorden";[Nederland] : Elly van Noorden;9789090410166 - gebonden
Onderduiker in Kessel 1942-1945;Frans Steens;[Nederland] : H.B.A. Steens;9789090400181 - gebonden
Kapitein Rietbergen : een vergeten zeeheld;"Stef Rietbergen ; vormgeving Daan Rietbergen";[Nederland] : [Uitgever niet vastgesteld];9789090400143 - paperback
80 jaar in dienst van de vrijheid : Goudse veteranen vertellen;redactie: Erik Kooistra, Hans Suijs, Marien Klein, Harry van den Brink;[Gouda] : Stichting Goudse Veteranen;9789090399287 - paperback
Dragelijke lichtheid : het tienerdagboek van mijn Joodse moeder tijdens de Tweede Wereldoorlog;Dieuwertje Blok;Amsterdam : Meulenhoff;9789089683663 - paperback
Opa Bels van de dijk : een bijdrage aan de geschiedschrijving van Aalsmeer;Martin Spaargaren;Amstelveen : Tienstuks;9789088602016 - genaaid
De verzwegen koffer : 5 dagboeken : een agenda : veel WWII memorabilia;"Mirjam Vrees-Mulder ; redactie: Bies van Ede";[plaats van uitgave onbekend] : [Mirjam Vrees-Mulder];9789083527581 - gebonden
Ik wil niemand tot last zijn : een joods gezin in oorlogstijd;Joop Verstraten;[Dokkum] : Wijdemeer;9789083523729 - paperback
Dagboek van Bep Scherpel 1940-1945 : een Loosdrechts meisje dat opgroeit in de oorlog;" redactie Annet Werkhoven-Scherpel en Merrit Roodbeen ; eindredactie Merrit Roodbeen";Nijkerk : Nabij Producties;9789083488844 - gebonden
Hoe een reebok ons leven redde;"Ota Pavel ; vertaald uit het Tsjechisch door Edgar de Bruin";Amsterdam : Koppernik;9789083479101 - paperback
Bakens van het verzet : de bewogen oorlogsjaren van Joop der Weduwen en Clemens Driessen;"Ina Brethouwer ; tekstredactie: Nic Adema, Bert Stoltenborg ; eindredactie: Hans de Beukelaer";IJzerlo : Uitgeverij Fagus;9789083463445 - gebonden
44 nabestaanden : de razzia van november 1944 in Rotterdam en Schiedam;"Dick Termond ; redactie Suzan Markesteijn ; redactie Ellen Pons, Dick Termond en Tim Beijer";Sliedrecht : IkVerhaal;9789083456447 - gebonden
Else Hanöver : oorlogsjaren in Maastricht = War years in Maastricht;Mieke Kirkels;Maastricht : Leon van Dorp;9789083421261
Commando Martien van Barneveld : een bijzondere Lunteraan in oorlog;"Wybo Boersma ; redactie: Niels Mulder en Jojanneke van Steenbeek";[Ede] : Gemeente Ede, Gemeentearchief;9789083143934 - paperback
De ballerina en het zwarte schaap : een historische familiekroniek;Wendy Louise;[Plaats van uitgave niet vastgesteld] : Uitgeverij WB;9789083123271 - paperback
Dagboek van Annie van den Berg : verslag van het leven in Anna Paulowna tijdens de Tweede Werldoorlog;"gedigitaliseerd door Carolien van Lierop-Berbeé ; grafisch ontwerp Tine van Wel";Breezand : Rowa Reclamemakers;9789083097732 - gebonden
Catharina;"Frank Krake ; tekstredactie en inhoudelijke adviezen: Enno de Witt";[Hengelo] : Uitgeverij Achtbaan;9789082476477 - paperback
Opdat wij niet vergeten : De Joodse familie Knorringa-van Haren;T.B. Juk;Warffum : St. Uitgaven Noord-Groningen;9789073319943 - paperback
De eerste trein, zijn laatste reis : Comprecht Leviet (1910-1942);T.B. Juk;Warffum : St. Uitgaven Noord-Groningen;9789073319929
Leen : Iets dat te maken heeft met 'God';Willy Berends;Haarle gem Hellendoorn : Nedersaksische Uitgeverij;9789071517785 - paperback
In de schaduw van de zon : een waargebeurd verhaal tijdens de Japanse bezetting van voormalig Nederlands-Indië;"Marney Blom ; vertaler [uit het Engels]: Tobya Jong ; redactie: Uitgeverij Gideon";Hoornaar : Uitgeverij Gideon;9789059992801 - paperback
Soldaat in verzet : de belofte die Jan Verleun het leven kostte;Do du Preez-Verleun, Pauline Wesselink;Schoorl : Conserve;9789054291817 - paperback
Zuster Jo : Verzet in Groningen;"Robert Sikkes ; illustraties Peter van Dorst";Groningen : Uitgeverij Profiel;9789052946412 - geb.
Morgen is het vrijdagavond : over de oorlog en de jaren erna : een familiekroniek;"Erik Weersing ; Hans Lakerveld";Groningen : Uitgeverij Profiel;9789052946399
Nonny;Ika van Doorn;Amsterdam : Lebowski;9789048875436 - paperback
De verraadster;Erik Schaap;Amsterdam : Uitgeverij Rainbow bv;9789041716194 - paperback
Enkele reis Sobibor : de briefkaarten van mijn grootmoeder;Guida Joseph;Amsterdam : Nijgh & Van Ditmar;9789038815824 - paperback
De oorlog in stukjes;"S. Carmiggelt ; samengesteld door Frank Carmiggelt";Amsterdam : Uitgeverij De Arbeiderspers;9789029553919 - paperback
De feestzaal van mijn ouders : een Vlaamse familiegeschiedenis;Els Snick;Amsterdam : Uitgeverij Van Oorschot;9789028252080 - paperback
De staljongen van Auschwitz;"Henry Oster en Dexter Ford ; vertaald [uit het Engels] door Els Franci-Ekeler";Utrecht : De Fontein;9789026178108 - paperback
Absent : herinneringen aan het Joods Lyceum Amsterdam, 1941-1943;"Dienke Hondius ; met medewerking van Miep Gompes-Lobatto";Amsterdam : Em. Querido's Uitgeverij bv;9789025320928 - paperback
Strepen aan de hemel en andere oorlogsherinneringen;"G.L. Durlacher ; met een voorwoord van Arnon Grunberg";Amsterdam : Em. Querido's Uitgeverij BV;9789025319892 - paperback
Over de rand laait vuur : mijn ouders en de oorlog;Chris van der Heijden;Amsterdam : Boom;9789024470761 - paperback
Tante Bertha : de val van een Rotterdamse verzetsmoeder;Gerard Groeneveld;Amsterdam : Boom;9789024467877 - paperback
De Hacquartstraat : herinneringen aan goed en kwaad in Oud-Zuid;John Kleinen;Amsterdam : Koninklijke Boom Uitgevers;9789024467419 - paperback
Mijn twee moeders;Stefan Skotnicki & Dore van Duivenbode;Utrecht : Alfabet Uitgevers;9789021341989 - gebonden
Niet meer dan een nummer;Elsbeth de Jager;[Alkmaar] : Kluitman;9789020654424
Liefdesbrieven van een kampbeul : het waargebeurde verhaal van een ontsnapte Nederlandse SS’er, een secretaresse uit Kamp Amersfoort en de zoektocht van hun zoon naar de waarheid;Rik Kuiper;Amsterdam : Spectrum;9789000395477 - paperback
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;